"ID","时间","日降水量","flag","降水历时","天气状况","时段长","时段降水量","测站编码","时间戳"
"1","2019-05-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"2","2019-05-12 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"3","2019-05-11 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"4","2019-05-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"5","2019-05-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"6","2019-05-06 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"7","2019-05-05 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"8","2019-05-04 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"9","2019-05-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"10","2019-05-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"11","2019-05-01 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"12","2019-04-30 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"13","2019-04-29 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"14","2019-04-28 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"15","2019-04-27 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"16","2019-04-26 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"17","2019-04-25 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"18","2019-04-24 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"19","2019-04-23 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"20","2019-04-22 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"21","2019-04-09 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"22","2019-04-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"23","2019-04-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"24","2019-04-06 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"25","2019-04-05 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"26","2019-04-04 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"27","2019-04-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"28","2019-04-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"29","2019-04-01 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"30","2019-03-31 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"31","2019-03-30 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"32","2019-03-29 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"33","2019-03-19 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"34","2019-03-18 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"35","2019-03-17 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"36","2019-03-16 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"37","2019-03-15 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"38","2019-03-14 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"39","2019-03-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"40","2019-03-12 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"41","2019-03-11 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"42","2019-03-10 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"43","2019-03-09 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"44","2019-03-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"45","2019-03-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"46","2019-03-06 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"47","2019-03-05 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"48","2019-03-04 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"49","2019-03-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"50","2019-03-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"51","2019-03-01 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"52","2019-02-28 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"53","2019-02-27 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"54","2019-02-26 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
